step,train_loss,lr,grad_norm,tokens_per_second,elapsed_minutes,tokens_processed,val_loss,val_train_loss
0,2.4544758796691895,2e-06,3.6066396236419678,117501.72994230881,0.010457821687062581,0,,
10,2.179328441619873,2.2000000000000003e-05,0.9261150360107422,177892.7335649454,0.07953317960103352,2949120,,
20,1.943507432937622,4.2000000000000004e-05,0.6272381544113159,179096.9108570829,0.14814405043919882,5898240,,
30,1.9163482189178467,6.2e-05,0.50211101770401,179406.53562030641,0.2166365424791972,8847360,,
40,1.8712505102157593,8.2e-05,0.49810177087783813,179593.11275262517,0.2850579063097636,11796480,,
50,1.8120217323303223,0.00010200000000000001,0.4905373454093933,179730.5296180139,0.3534269253412882,14745600,,
60,1.7457740306854248,0.00012200000000000001,0.513018012046814,179860.37351730678,0.4217465837796529,17694720,,
70,1.7772150039672852,0.000142,0.5041577219963074,179782.61817901913,0.49009581009546915,20643840,,
80,1.744621992111206,0.00016199999999999998,0.5541338920593262,179795.53788776195,0.55844011704127,23592960,,
90,1.6559021472930908,0.000182,0.48602113127708435,179609.03044188317,0.6268553892771404,26542080,,
100,1.7589333057403564,0.0002,0.5449367761611938,179568.8244174116,0.6952859958012899,29491200,,
110,1.723478078842163,0.00019999970808610344,0.5661585330963135,179781.9074398673,0.7636354883511861,32440320,,
120,1.6771736145019531,0.00019999883019602575,0.5143580436706543,179484.4867911262,0.8320982297261555,35389440,,
130,1.648876428604126,0.00019999736994515886,0.5001062154769897,179783.03626349822,0.9004472970962525,38338560,,
140,1.7219737768173218,0.0001999953243964006,0.5282555818557739,179651.17482735805,0.9688465396563212,41287680,,
150,1.705026388168335,0.00019999269190092294,0.4949195384979248,179556.3230226822,1.0372818907101948,44236800,,
160,1.6728352308273315,0.00019998947441706073,0.49462956190109253,179526.07247209933,1.1057287812232972,47185920,,
170,1.6215527057647705,0.00019998567403029768,0.4910914897918701,179651.18526416837,1.1741280118624369,50135040,,
180,1.6586247682571411,0.00019998128635796174,0.49322834610939026,179534.85888344655,1.2425715565681457,53084160,,
190,1.681347370147705,0.0001999763178216127,0.491741806268692,179697.8290426305,1.3109530448913573,56033280,,
200,1.6372928619384766,0.00019997076009121571,0.49487626552581787,179506.1368660546,1.379407533009847,58982400,1.6298080682754517,1.6230278015136719
210,1.6172517538070679,0.00019991376274717043,0.4687232971191406,25036.866411682815,1.8702037731806438,61931520,,
220,1.660362720489502,0.00019990343685988,0.4717373847961426,179710.6947924995,1.9385803500811258,64880640,,
230,1.6651047468185425,0.00019989253091114034,0.45760583877563477,179819.27066925564,2.0069156845410663,67829760,,
240,1.6110966205596924,0.00019988101976560084,0.46383264660835266,179407.84708886157,2.075407667954763,70778880,,
250,1.6105839014053345,0.00019986893014682332,0.4502098858356476,179608.11243818302,2.143823293844859,73728000,,
260,1.5668672323226929,0.0001998562621095765,0.46571341156959534,179600.2159075406,2.2122419238090516,76677120,,
270,1.6125071048736572,0.00019984300369810896,0.46589362621307373,179550.05734044765,2.280679674943288,79626240,,
280,1.5652410984039307,0.00019982916936330675,0.45075711607933044,179647.8351103349,2.349080169200897,82575360,,
290,1.5940797328948975,0.00019981475737644117,0.46026572585105896,179756.29322541362,2.4174393971761066,85524480,,
300,1.5399739742279053,0.00019979975321824699,0.46123236417770386,179562.2033618407,2.485872534910838,88473600,,
310,1.6287742853164673,0.00019978416017195211,0.45976388454437256,179606.89192506843,2.55428862174352,91422720,,
320,1.5844817161560059,0.00019976798914507637,0.4934755265712738,179598.31750569004,2.622707962989807,94371840,,
330,1.5519793033599854,0.0001997512356422431,0.5014927983283997,179619.6298915269,2.6911192258199055,97320960,,
340,1.5795185565948486,0.00019973387847941847,0.45483702421188354,179452.5004996436,2.759594174226125,100270080,,
350,1.5287625789642334,0.0001997159537007551,0.4751574993133545,179541.884462141,2.8280350526173907,103219200,,
360,1.5922917127609253,0.00019969744922276986,0.48439574241638184,179610.7621562284,2.8964496652285256,106168320,,
370,1.6048684120178223,0.00019967616124826577,0.466855525970459,161346.17565172503,2.9726088921229046,109117440,,
380,1.4948170185089111,0.00019965641838391309,0.46636515855789185,179561.7967302479,3.041042160987854,112066560,,
390,1.5466126203536987,0.00019963610423850468,0.4731442928314209,179668.02141786477,3.10943497021993,115015680,,
400,1.5047240257263184,0.00019961519931955933,0.430462509393692,179583.29859818384,3.1778600454330443,117964800,1.5942604541778564,1.520080327987671
410,1.4746038913726807,0.0001993268347831931,0.45106127858161926,15324.303124040862,3.979723616441091,120913920,,
420,1.532511830329895,0.0001992985582315586,0.44704917073249817,179765.4052388028,4.048079383373261,123863040,,
430,1.5554348230361938,0.00019926969314019123,0.4355224668979645,179684.21340492557,4.116466025511424,126812160,,
440,1.4496285915374756,0.00019924023591889303,0.4240696430206299,179598.5261193152,4.1848853151003516,129761280,,
450,1.5732887983322144,0.0001992101769795618,0.451876163482666,179502.90673515428,4.253341050942739,132710400,,
460,1.538036584854126,0.000199179538240207,0.4473172724246979,179452.65670585807,4.321815943717956,135659520,,
470,1.5970313549041748,0.00019914830907869527,0.46165385842323303,179491.2896446366,4.3902760942776995,138608640,,
480,1.5506973266601562,0.00019911652136365423,0.4576084613800049,179567.03094941826,4.4587073683738705,141557760,,
490,1.5507841110229492,0.00019908418130761072,0.45197808742523193,179709.78619289031,4.52708428700765,144506880,,
500,1.5670580863952637,0.0001990512587869325,0.48943960666656494,179654.68166387622,4.595482182502747,147456000,,
510,1.4808809757232666,0.00019901773812939944,0.48578816652297974,179574.2363199614,4.66391073067983,150405120,,
520,1.527329683303833,0.00019898361245125062,0.4669291377067566,179406.6605212475,4.732403202851613,153354240,,
530,1.48863685131073,0.00019894892077045089,0.45513951778411865,179560.0138288509,4.800837135314941,156303360,,
540,1.5222972631454468,0.00019891367085536385,0.45343586802482605,179610.35530467634,4.869251906871796,159252480,,
550,1.4702785015106201,0.0001988778182559286,0.4455950856208801,179498.91612105718,4.937709152698517,162201600,,
560,1.5523192882537842,0.00019884141911314724,0.4594480097293854,179662.22808887294,5.006104203065236,165150720,,
570,1.5488226413726807,0.00019880444568867877,0.44245645403862,179633.0166139732,5.07451034784317,168099840,,
580,1.5176477432250977,0.00019876687196089505,0.46875911951065063,179546.14802648692,5.142949569225311,171048960,,
590,1.5310062170028687,0.000198728710188343,0.4288419187068939,179523.69622390126,5.2113973736763,173998080,,
600,1.5708792209625244,0.0001986900157437698,0.4471808671951294,179705.62972792148,5.279775865872701,176947200,1.5252330303192139,1.4785938262939453
610,1.4658820629119873,0.00019840463086538235,0.41797715425491333,25807.30436998002,5.755920159816742,179896320,,
620,1.6137903928756714,0.00019836132139116052,0.46461743116378784,179562.3389061142,5.824353218078613,182845440,,
630,1.566133975982666,0.00019831745886271816,0.44160228967666626,179671.10090697295,5.892744859059651,185794560,,
640,1.4826617240905762,0.0001982729926615976,0.44477659463882446,179514.95258903413,5.961196013291677,188743680,,
650,1.6036672592163086,0.00019822794696039013,0.4539869725704193,179459.446732132,6.029668319225311,191692800,,
660,1.509771704673767,0.0001981823570153465,0.46013984084129333,179622.57208656523,6.0980784376462305,194641920,,
670,1.5014324188232422,0.0001981361682812736,0.44648072123527527,179511.8888708225,6.166530744234721,197591040,,
680,1.4712846279144287,0.00019808940929956175,0.44720521569252014,179526.04120526728,6.234977638721466,200540160,,
690,1.4622106552124023,0.00019804208864401175,0.4693997800350189,179582.78758232828,6.30340291261673,203489280,,
700,1.4193532466888428,0.00019799421933230913,0.44543230533599854,179689.09976144703,6.371787714958191,206438400,,
710,1.4527084827423096,0.00019794575300990821,0.4355800151824951,179507.75197509953,6.440241579214732,209387520,,
720,1.5307278633117676,0.00019789674536033615,0.43521198630332947,179691.01052441596,6.508625662326812,212336640,,
730,1.4135379791259766,0.0001978471274839299,0.4220222234725952,179545.61637293844,6.577065122127533,215285760,,
740,1.5231032371520996,0.0001977969458038895,0.44953808188438416,179518.97518057545,6.645514718691508,218234880,,
750,1.5340514183044434,0.00019774618057388983,0.45011091232299805,179557.73051561113,6.713949541250865,221184000,,
760,1.4208441972732544,0.00019769484981406625,0.43389731645584106,179524.39450083635,6.782397067546844,224133120,,
770,1.448570728302002,0.00019764295258604516,0.4480805993080139,179563.61094696022,6.850829633076986,227082240,,
780,1.417192816734314,0.00019759052571163713,0.44500887393951416,179663.52242185763,6.919224158922831,230031360,,
790,1.4023869037628174,0.00019753753451614054,0.41705086827278137,179722.39252752723,6.987596289316813,232980480,,
800,1.4439222812652588,0.00019748396035229607,0.4345020353794098,179672.80250047136,7.055987282594045,235929600,1.5632212162017822,1.4245672225952148
810,1.5031654834747314,0.00019680404633145082,0.41361668705940247,15120.525441379903,7.868657469749451,238878720,,
820,1.4446290731430054,0.00019674323487528004,0.45501959323883057,179760.30574133468,7.937015159924825,241827840,,
830,1.477135181427002,0.00019668186102805578,0.42788222432136536,179809.17040264094,8.005354313055674,244776960,,
840,1.5317667722702026,0.0001966198673527136,0.43436285853385925,179641.30214794519,8.073757298787434,247726080,,
850,1.5089752674102783,0.00019655725013363465,0.41702041029930115,179470.45558124635,8.142225416501363,250675200,,
860,1.437095046043396,0.00019649413843744257,0.4340886175632477,179694.7590791172,8.210608037312825,253624320,,
870,1.372535228729248,0.00019643040451529327,0.4348416328430176,179510.55503978676,8.279060864448548,256573440,,
880,1.4771928787231445,0.00019636607544283412,0.41882821917533875,179402.24746014574,8.3475549976031,259522560,,
890,1.4901013374328613,0.00019630127636211466,0.49519670009613037,179651.27919551588,8.415954196453095,262471680,,
900,1.4333274364471436,0.0001962358863408463,0.41749948263168335,179609.80240680362,8.48436917066574,265420800,,
910,1.4507852792739868,0.00019616294041301043,0.46605488657951355,162378.01553377768,8.560044459501903,268369920,,
920,1.503340721130371,0.00019609643135429827,0.4265389144420624,179749.2090643257,8.628406381607055,271319040,,
930,1.4807679653167725,0.00019602924888871074,0.4424839913845062,179410.2410888435,8.696897474924723,274268160,,
940,1.414015531539917,0.00019596150962248882,0.4299212098121643,179469.080703201,8.765366125106812,277217280,,
950,1.4285324811935425,0.0001958932349122953,0.41409286856651306,179519.62131311905,8.83381547133128,280166400,,
960,1.372901439666748,0.00019582445380191368,0.40346941351890564,179639.7576831523,8.902219045162202,283115520,,
970,1.4819254875183105,0.00019575507452554143,0.4405050277709961,179516.8283864917,8.970669464270275,286064640,,
0,2.557725429534912,2e-06,4.489890098571777,105715.1158013919,0.011623835563659668,0,,
10,2.1391396522521973,2.2000000000000003e-05,0.9063248634338379,163849.74884393223,0.08661938110987345,2949120,,
20,1.9354398250579834,4.2000000000000004e-05,0.5924795269966125,177563.028959864,0.1558229684829712,5898240,,
30,1.8666359186172485,6.2e-05,0.523173451423645,178236.14573561415,0.22476523319880168,8847360,,
40,1.7606403827667236,8.2e-05,0.4651500880718231,178486.645959657,0.29361073970794677,11796480,,
50,1.8123527765274048,0.00010200000000000001,0.4933437705039978,178616.97821022623,0.3624060034751892,14745600,,
60,1.7197132110595703,0.00012200000000000001,0.4980761706829071,178705.52124285308,0.4311671733856201,17694720,,
70,1.753707766532898,0.000142,0.5297326445579529,178647.97583439015,0.4999505043029785,20643840,,
80,1.657832145690918,0.00016199999999999998,0.5011589527130127,178737.36574698065,0.5686994194984436,23592960,,
90,1.6444926261901855,0.000182,0.5630384683609009,178443.86195065946,0.6375614285469056,26542080,,
100,1.6385737657546997,0.0002,0.5008010268211365,178723.69900536072,0.7063156247138977,29491200,,
110,1.7243430614471436,0.00019999966588501208,0.4930707514286041,178605.86750039808,0.7751151522000631,32440320,,
120,1.6379592418670654,0.00019999866280383407,0.5021211504936218,178560.12904653337,0.843932310740153,35389440,,
130,1.6856716871261597,0.0001999969933115611,0.5019993185997009,178812.21348758807,0.9126524607340495,38338560,,
140,1.5358283519744873,0.0001999946571631098,0.4842720031738281,178824.4770451615,0.9813678900400797,41287680,,
150,1.6259974241256714,0.00019999165297180177,0.46908172965049744,178743.06858823285,1.050114631652832,44236800,,
160,1.6734352111816406,0.00019998798115059845,0.48206430673599243,178748.28618024304,1.1188593626022338,47185920,,
170,1.6180942058563232,0.00019998363961617265,0.5243963599205017,178699.32512348806,1.1876229087511698,50135040,,
180,1.7377560138702393,0.0001999786339147528,0.515027642250061,178770.06904240046,1.2563592513402304,53084160,,
190,1.5750279426574707,0.00019997295767929183,0.5007588863372803,178689.9388211702,1.3251264174779256,56033280,,
200,1.7235835790634155,0.0001999666151232805,0.5203503370285034,178702.16495819416,1.3938889066378275,58982400,1.6298080682754517,1.6230278015136719
210,1.5331737995147705,0.000199905403154748,0.4521062970161438,26151.683737780946,1.8637630502382914,61931520,,
220,1.647962212562561,0.00019989382361173776,0.45354604721069336,178579.51475249883,1.9325727542241415,64880640,,
230,1.5808992385864258,0.0001998815777726887,0.4283963441848755,178595.63490324927,2.001376227537791,67829760,,
240,1.5862547159194946,0.0001998686683857388,0.5011888742446899,178690.57899967532,2.070143155256907,70778880,,
250,1.706103801727295,0.00019985508915767834,0.49064546823501587,178637.4494694328,2.1389305273691814,73728000,,
260,1.6711167097091675,0.00019984084368012238,0.45100560784339905,178612.02619108514,2.2077276984850567,76677120,,
270,1.5554360151290894,0.0001998259129700241,0.4588565230369568,178472.4613129253,2.2765786687533063,79626240,,
280,1.6046724319458008,0.0001998103453378238,0.4660358726978302,178729.12206539477,2.345330766836802,82575360,,
290,1.5274745225906372,0.00019979410106089903,0.44005826115608215,178682.50482606492,2.4141007979710896,85524480,,
300,1.5270369052886963,0.00019977718539330912,0.43410244584083557,178603.2679795412,2.4829013466835024,88473600,,
310,1.4257309436798096,0.00019975960488428232,0.43014591932296753,178648.89437017727,2.551684323946635,91422720,,
320,1.5181713104248047,0.00019974134868591578,0.4788018465042114,178557.45868604293,2.6205026149749755,94371840,,
330,1.536469578742981,0.00019972241109197974,0.4706372916698456,178434.18329214613,2.689368251959483,97320960,,
340,1.562340497970581,0.00019970284236204015,0.48433026671409607,178717.6255688129,2.7581247806549074,100270080,,
350,1.5312812328338623,0.0001996825273109221,0.430761456489563,178087.4340356219,2.8271245916684467,103219200,,
360,1.5748472213745117,0.00019966163514665737,0.4541375935077667,178818.6345840787,2.8958422780036925,106168320,,
370,1.6923716068267822,0.0001996400678124798,0.4699694812297821,178749.89801282287,2.964586385091146,109117440,,
380,1.6053627729415894,0.00019961783991893762,0.4706086218357086,178748.16219432553,3.0333311637242635,112066560,,
390,1.435569167137146,0.00019959311855712107,0.4295690655708313,165760.2485800868,3.1074623266855874,115015680,,
400,1.6006176471710205,0.00019956950114948676,0.4470336139202118,178694.2859299079,3.1762278358141582,117964800,1.5942604541778564,1.520080327987671
410,1.5547677278518677,0.00019924187209607075,0.46019652485847473,15193.350805295731,3.9850026965141296,120913920,,
420,1.577056646347046,0.00019920978607215582,0.44792869687080383,178716.37581420338,4.053759709993998,123863040,,
430,1.5208410024642944,0.00019917701149594233,0.4327912926673889,178581.91763582628,4.12256848414739,126812160,,
440,1.5214908123016357,0.00019914357376805107,0.44488242268562317,178541.70621559542,4.191392735640208,129761280,,
450,1.5169389247894287,0.00019910921009560868,0.42282119393348694,177073.61650134364,4.260787642002105,132710400,,
460,1.4584755897521973,0.00019907357924568258,0.49708113074302673,174150.0169944544,4.331347521146139,135659520,,
